,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что из нижеперечисленного является музыкальным интервалом?,Секунда,Минута,Час,Полчаса
1,Какой банковский билет исчез из обращения при переходе от СССР к РФ?,3 руб.,100 руб.,5 руб.,10 руб.
2,Название какого цвета произошло от французского слова «солома»?,Палевый,Бордовый,Хаки,Бежевый
3,Что чинил кот Бегемот из романа «Мастер и Маргарита»?,Примус,Велосипед,Автомобиль,Плитку
4,В какой по счету республике живет сегодня Франция?,5,3,4,6
5,Как называется коронационный меч польских королей?,Щербец,Звездец,Кладенец,Хоробрец
6,В честь какого римского императора воздвиг свою знаменитую колонну Аполлодор Дамасский?,Траяна,Веспасиана,Калигулы,Диоклетиана
7,Как в древности на Руси назывался месяц май?,Травень,Грудень,Червень,Цветень
8,"Какой фильм был снят Эльдаром Рязановым по написанной им совместно с Эмилем Брагинским пьесе ""Аморальная история""?","""Забытая мелодия для флейты""","""Вокзал для двоих""","""Служебный роман""","""Гараж"""
9,"В греческой мифологии Химера имела голову и шею льва, хвост дракона и туловище… Чье?",Козы,Собаки,Женщины,Ослицы
