,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой псевдоним взяла себе певица Наташа Ионова?,Глюкоза,Сахароза,Сахарозаменительница,Лактоза
1,Как звали героя повести А. П. Гайдара?,Бумбараш,Барабаш,Барботаж,Сабодаж
2,Банкнотой какого номинала вы не сможете расплатиться в Белоруссии?,25 рублей,10 рублей,50 рублей,100 рублей
3,Какой русский ресторан в Нью-Йорке любили посещать Иосиф Бродский и Сергей Довлатов?,"""Русский самовар""","""Националь""","""Одесса""","""Москва"""
4,"Кому принадлежит афоризм ""Коней на переправе не меняют"", который нередко ошибочно считают народной поговоркой?",Авраам Линкольн,Тамерлан,Семен Буденный,Наполеон
5,Каким было воинское звание Екатерины II?,Полковник,Маршал,Генералиссимус,Капитан
6,Какой компонент является обязательным в японском супе кицунэ удон?,Жареный сыр тофу,Мелко нарезанный тунец,Рисовое вино мирин,Отварная курица
7,Кто в 1895 году разработал русскую семафорную азбуку?,С. О. Макаров,Г. Я. Седов,А. И. Вилькицкий,А. В. Колчак
8,Как звали мать нынешнего правителя КНДР Ким Чен Ына?,Ко Ён Хи,Ким Ок,Ким Ён Сук,Сон Хе Рим
9,Кто из Великих князей Дома Романовых был награждён датским орденом Слона после Октябрьской революции?,Кирилл Владимирович,Николай Николаевич,Михаил Александрович,Георгий Михайлович
