,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая одежда из перечисленных самая длинная?,Брюки,Плавки,Шорты,Бриджи
1,"Что на ногах у спортсмена, играющего в ринк-хоккей?",Роликовые коньки,Ласты,Бутсы,Коньки
2,"Кто автор крылатого выражения ""А Васька слушает, да ест""?",Крылов,Ломоносов,Грибоедов,Маяковский
3,Какой из этих церковных праздников не привязан к определённой дате?,Троица,Успение Девы Марии,Крещение,Рождество Христово
4,"В каком городе России установлен памятник букве ""О""?",Вологда,Онега,Омск,Волгоград
5,Сколько лет должно было исполниться 1 августа Джульетте в пьесе Шекспира?,14,18,12,16
6,Какого вида подберезовиков не бывает?,Подберезовик красный,Подберезовик шахматный,Подберезовик серый,Подберезовик черный
7,У какой породы кошек стандарт допускает многопальцевость?,Пиксибоб,Гималайская,Бенгальская,Мэнкс
8,"Сколько ног было у Авсурга, коня из осетинского эпоса?",Три,Пять,Сто,Восемь
9,Горение какого элемента придает фейерверку красный цвет?,Стронций,Иридий,Железо,Висмут
