,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой овощ необходимо добавить в щи, чтобы они стали борщом?",Свеклу,Морковь,Помидор,Капусту
1,"Как называется страстное, иногда чрезмерное почитание всего французского?",Галломания,Баскомания,Франкомания,Латиномания
2,Действие какой пьесы Шекспира происходит в Эльсиноре?,«Гамлет»,«Ромео и Джульетта»,«Двенадцатая ночь»,«Как вам это понравится»
3,В какой части ноги расположена икроножная мышца?,Голень,Стопа,Тазобедренный сустав,Бедро
4,Что такое калуфер?,Растение,Парикмахер,Бабочка,Калорифер
5,Что является причиной ятрогенного заболевания?,Неправильные действия врача,Инфекция,Травмы,Неправильное поведение больного
6,"Какое название получила разновидность овсяного печенья, ставшая популярной в Австралии и Новой Зеландии после Первой мировой войны?",ANZAC,Victory,WWI,Gallipoly
7,Какая особенность не присуща озеру Развал в Оренбургской области?,Озеро — место гнездования фламинго,В озере нет живых организмов,На глубинах ниже двух метров постоянно держатся отрицательные температуры,Поверхность озера не замерзает зимой
8,"Как назывался футбольный клуб из города Болотное, который волею создателей телесериала «Команда» дошел до финала Кубка России?",«Торпедо»,«Динамо»,«Локомотив»,«Спартак»
9,Какой роман вдохновил лидера группы Nirvana Курта Кобейна на написание песни «Scentless Apprentice»?,«Парфюмер. История одного убийцы»,«Портрет Дориана Грея»,«Невыносимая лёгкость бытия»,«Сто лет одиночества»
