,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется статья 293 Уголовного кодекса РФ?,Халатность,Лень,Безделье,Невежество
1,Кто изучает жужелиц?,энтомолог,ихтиолог,орнитолог,палеонтолог
2,Водами какого залива омываются берега Испании?,Бискайского,Сидра,Габес,Сен-Мало
3,С какой страной Израиль не имеет границы?,Саудовская Аравия,Ливан,Египет,Иордания
4,Какое животное изображено на эмблеме зоопарка в Санкт-Петербурге?,Белый медведь,Песец,Чайка,Морж
5,Какая сумма (в долларах США) официально была обещана российским спортсменам за победу на Олимпиаде в Сиднее?,50 тыс.,150 тыс.,75 тыс.,100 тыс.
6,Под каким названием вошла в историю страшная эпидемия чумы в Европе в 1348-50 гг.?,"""Черная смерть""","""Месть Господня""","""Адское поветрие""","""Красная смерть"""
7,Какое направление в живописи основал Казимир Малевич?,Супрематизм,Кубизм,Сюрреализм,Экспрессионизм
8,"Какой рыцарь и какой даме подарил ""утешную собачку"" Пти-Крю с волшебной погремушкой?",Тристан Изольде,Амадис Ориане,Пелеас Мелисанде,Ланселот Гиневре
9,На каком острове можно расплатиться квадратной 50-центовой монетой?,Аруба,Гуам,Ланди,Ниуэ
