,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Для каких целей необходим лоцман?,Для проводки судов,Для постройки судов,Для разгрузки судов,Для снабжения судов
1,Какое особое световое оружие было у джедаев в эпопее «Звёздные войны»?,мечи,кинжалы,копья,пистолеты
2,"Как фамилия героя фильма ""Служебный роман"", которого ошибочно сочли умершим?",Бубликов,Плюшкин,Пирогов,Баранкин
3,Как звали Чеховского «Ионыча»?,Дмитрий,Иван,Антон,Ион
4,Кого из этих писателей звали Владимир Владимирович?,Набоков,Даль,Тургенев,Гончаров
5,Как заканчивается цитата Айрис Мердок «Безоблачное счастье само по себе внушает...»?,Испуг,Зависть,Радость,Надежду
6,Какой химический элемент ранее носил название глюциний?,Бериллий,Кальций,Барий,Германий
7,Где можно наблюдать редкий вид облаков — утренняя глория?,Залив Карпентария на севере Австралии,Гора Броккен в Германии,На Гималаях в Непале,На Кольском полуострове в России
8,Какой из этих рассказов Конан Дойл написал от лица самого Шерлока Холмса?,«Львиная грива»,«Тайна Боскомской долины»,«Приключения клерка»,«Подрядчик из Норвуда»
9,"Кого из зарубежных писателей М. Горький призывал: ""... не теряйте веры в дело Ленина...""?",Р. Роллана,С. Цвейга,А. Барбюса,Г. Уэллса
