,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как заканчивается фраза из условия задачи: «Из пункта А в пункт Б…»?,Вышел поезд,Пошёл дождь,Полетела сплетня,Убежало молоко
1,Кто зажигает рождественскую ель на лужайке Белого дома в Вашингтоне?,Президент,Микки-Маус,Дед Мороз,Белоснежка
2,"Что было написано на яблоке раздора, которое получила Афродита?",«Прекраснейшей»,«Умнейшей»,«Величайшей»,«Самой смелой»
3,Что крылатый конь Пегас доставлял Зевсу на Олимп?,громы и молнии,нектар,амброзию,стихи
4,Кто из этих мифологических персонажей никогда не летал?,Тесей,Персей,Беллерофонт,Гермес
5,"Как называется московская площадь, на которой стоит памятник Юрию Долгорукому?",Тверская площадь,Московская площадь,площадь Долгорукого,площадь Моссовета
6,За достижения в какой области получил Нобелевскую премию главный редактор Большой советской энциклопедии Александр Прохоров?,физика,химия,физиология и медицина,литература
7,Какие из этих известных братьев-футболистов не являются голландскими?,Михаэль и Брайан Лаудруп,Рональд и Франк де Бур,Рене и Вилли ван ден Керкхоф,Рональд и Эрвин Куман
8,Какую дату отмечает Израиль сиреной и двухминутным молчанием на 6-ой день после праздника Песах? ,День Катастрофы европейского еврейства,День Независимости,День разрушения Второго Храма,День Памяти павших солдат
9,Кто из советских боксеров был двукратным олимпийским чемпионом?,Борис Лагутин,Валерий Попенченко,Дан Позняк,Вячеслав Лемешев
