,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,К какому классу слов относится имя собственное «Иваново»?,Существительные,Междометия,Местоимения,Прилагательные
1,К какой стране принадлежит производитель BMW?,Германия,Франция,Англия,Чехия
2,Как звали итальянского композитора Россини?,Джоаккино,Джанни,Джованни,Джакомо
3,Что отличает итальянское блюдо лазанью?,несколько слоёв теста,подают всегда холодной,треугольная форма,грибная начинка
4,Какая из олимпийских яхт - катамаран?,Торнадо,Звездный,Финн,Солинг
5,Сколько сердец изображено на гербе Дании?,9,7,6,8
6,Какой город стоит не на реке Сож?,Новополоцк,Кричев,Гомель,Чериков
7,В каком стиле построен храм Христа Спасителя?,Русско-византийском,Барокко,Классическом,Готическом
8,Какая из этих малых планет не входит в четверку самых крупных?,Европа,Паллада,Гигея,Веста
9,"Назовите фамилию героя неоконченной пьесы С. Есенина ""Страна негодяев""?",Рассветов,Просторов,Зарницын,Раздольнов
