,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какое блюдо, согласно фильму, готовил Штирлиц в камине 23 февраля?",печёную картошку,шашлык,узбекский плов,утку по-пекински
1,Какой из этих снарядов не относится к легкоатлетическим?,булава,копьё,шест,молот
2,Какая буква находится в верхней строчке медицинской таблицы для проверки остроты зрения?,Ш,Ж,М,Ф
3,"К каким обезьянам относился Пират, сыгравший в фильме «Полосатый рейс»?",Шимпанзе,Мартышки,Макаки,Павианы
4,Из какой части свиной туши готовят корейку?,спина,нога,грудь,голова
5,В каком немецком городе в 2010 году установили памятник российской императрице Екатерине II?,Цербст,Остриц,Марбург,Ансбах
6,Какой позывной был у космонавта Валентины Терешковой?,«Чайка»,«Голубка»,«Сойка»,«Ласточка»
7,К чему приговорили Достоевского по делу петрашевцев в 1849 году?,К расстрелу,К отрешению от должности,К одиночному заключению,К ссылке на поселение
8,"Как называется порода тяжеловозных лошадей, выведенных в окрестностях одноимённого притока реки Дон?",Битюг,Ахалтекинец,Першерон,Джэбе
9,Какой русский генерал настаивал сражаться за Москву на Совете в Филях в 1812 году?,Л. Л. Беннигсен,М. Б. Барклай-де-Толли,А. И. Остерман-Толстой,Д. С. Дохтуров
