,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая из этих птиц не относится к водоплавающим?,Цапля,Гусь,Утка,Лебедь
1,Какого цвета сектор зеро на рулетке?,зелёный,синий,белый,жёлтый
2,Как иначе называют гевею?,резиновое дерево,пластмассовое дерево,виниловое дерево,нейлоновое дерево
3,Чьё имя с 1968 года носил Московский автомобильный завод?,Ленинского комсомола,Октябрьской революции,Маркса и Энгельса,восьмой пятилетки
4,Какой географической регион не входит в состав Испании?,Аквитания,Астурия,Мурсия,Галисия
5,"Как завершается высказывание жены Альберта Эйнштейна «Мой муж — гений! Он умеет делать абсолютно всё, кроме…»?",денег,обеда,детей,комплиментов
6,Какую роль сыграл Владимир Высоцкий в спектакле «Пугачев» в Театре на Таганке?,Хлопуша,Мясников,Шигаев,Зарубин
7,В честь юбилея какого события в истории Украины ей был передан Крым?,Воссоединение с Россией,Образование УССР,Открытие Днепрогэса,Основание Киева
8,"С какой страной Бразилия ""делит"" водопад Игуасу?",С Аргентиной,С Уругваем,С Парагваем,С Перу
9,Какой чин получил П. И. Чайковский после окончания Императорского училища правоведения?,Титулярный советник,Коллежский асессор,Статский советник,Коллежский секретарь
