,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как иначе называют полиграф?,Детектор лжи,Детектор правды,Детектор денег,Детектор совести
1,Какой орган насекомого имеет фасеточное строение?,Глаз,Крыло,Дыхальце,Нога
2,Как называется административная единица Швейцарии?,Кантон,Область,Регион,Земля
3,"У какого растения созревшие плоды от прикосновения взрываются, с силой разбрасывая семена?",Бешеный огурец,Помидор &#39;Бычье сердце&#39;,Конский каштан,Дикая яблоня
4,В основе какого из этих минералов не лежит SiO2?,Селенит,Опал,Агат,Аметист
5,Что общего у поэта Пушкина и дипломата Горчакова?,Все варианты верны,Учились в Царскосельском лицее,Жили в одном веке,Имя
6,Какое второе название имеет боевой вертолёт Ка-50?,Чёрная акула,Крокодил,Касатка,Аллигатор
7,Кто произнес историческую фразу: «Париж стоит мессы»?,Генрих Наваррский,Екатерина Медичи,Герцог Гиз,Королева Марго
8,Какую формулу имеет кальцинированная сода?,Na2CO3,NaHCO3,CaCO3,K2CO3
9,Кем был Эдмунд Дюлак?,Художник-иллюстратор,Мошенник,Гипнотизер,Канатоходец
