,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается советский лозунг ""Партия сказала: надо! Комсомол ответил...""?",Есть!,Нет!,Хочу есть!,А смысл?
1,Где закончил жизнь царь в сказке Ершова «Конёк-Горбунок»?,в кипящем молоке,в непроходимом болоте,в собственной кровати,на осиновом колу
2,Какое средство передвижения не упоминается в самом начале сказки «Тараканище» Корнея Чуковского?,Автобус,Велосипед,Трамвай,Автомобиль
3,Какое государство НЕ островное?,Мали,Индонезия,Бруней,Ирландия
4,"Как называется поэтический язык, который придумали и использовали русские футуристы?",заумь,чушь,бред,белиберда
5,Какую ягоду словарь Даля называет «глухой малиной»?,ежевика,голубика,брусника,клюква
6,Какая из этих симфоний принадлежит П.И.Чайковскому?,"""Патетическая""","""Героическая""","""Прощальная""","""Неоконченная"""
7,Каково самоназвание грузин?,Картвели,Месхи,Самтреды,Цховребы
8,В каком месте в Австралии можно увидеть горизонтальный водопад?,Залив Талбот,Залив Шарк,Залив Принцессы Шарлотты,Бухта Дарвин
9,"У какого боксера такие прозвища: ""Король нокаутов"", ""Крутейший человек на планете"", ""Кид-Динамит""?",Майк Тайсон,Рой Джонс,Флойд Мэйвезер,Мохаммед Али
