,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая экономическая политика в свое время была предложена В.И.Лениным?,Новая,Теневая,Красная,Свободная
1,Какое из этих слов написано правильно?,интеллигенция,интеллегенция,интелигенция,интиллегенция
2,Какое из этих озёр Северной Америки не входит в систему Великих?,Виннипег,Онтарио,Гурон,Мичиган
3,Сколько оборотов делает в воздухе фигурист при исполнении прыжка аксель?,Полтора,Два,Два с половиной,Один
4,Что из перечисленного НЕ относится к сушёным абрикосам?,Сабза,Курага,Шептала,Урюк
5,"Из скольких человек состояли хоккейные команды на первом хоккейном матче, прошедшем в Монреале в 1875 году?",9,7,5,8
6,Кто придумал апорию об Ахиллесе и черепахе?,Зенон,Протагор,Анаксимен,Фалес
7,На каком мосту Москвы чекисты брали с поличным американского дипломата в телесериале «ТАСС уполномочен заявить»?,Краснолужском,Бородинском,Крымском,Андреевском
8,Сколько женщин-фигуристок имеют титул трехкратных олимпийских чемпионок?,2,1,4,3
9,Кто из этих древних правителей был польским королем?,Стефан Баторий,Стефан Первовенчанный,Стефан I,Стефан III Великий
