,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,В какой части света находится Монголия?,Азия,Европа,Антарктида,Северная Америка
1,Гран-при какой страны обычно открывает сезон Формулы-1?,Австралия,Япония,Монако,Китай
2,Кто покончил с собой в трагедии «Ромео и Джульетта»?,Ромео и Джульетта,Джульетта,Ромео,Меркуцио и Тибальт
3,Как называется изменение нарицательной стоимости денежных знаков с целью стабилизации валюты или облегчения расчетов?,Деноминация,Девальвация,Ревальвация,Дефляция
4,"Как назывались гостиница и ресторан в оперетте Кальмана ""Принцесса цирка""?","""Зелёный попугай""","""Синяя птица""","""Красный петух""","""Белая ворона"""
5,Кто из этих модельеров сотрудничал с гитлеровцами?,Хуго Босс,Гуччо Гуччи,Вольфганг Йооп,Карл Лагерфельд
6,Какой город является родиной паралимпийского движения?,Сток-Мандевиль,Пхеньян,Браззавиль,Пномпень
7,Кто потерпел поражение от Октавиана в решающей битве у мыса Акций?,Марк Антоний,Гней Помпей Великий,Кассий и Брут,Юлий Цезарь
8,"Какой витамин известен как витамин ""Е""?",Токоферола ацетат,Эргокальциферол,Фолиевая кислота,Ретинола ацетат
9,Какой из перечисленных микроэлементов принимает непосредственное участие в круговороте азота в природе?,Молибден,Марганец,Селен,Кобальт
