,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Совершенно изумительный проект воплотил на телевидении Дмитрий Дибров. Его авторская программа называется:,"""Антропология""","""Антилопология""","""Антрацитология""","""Антрепология"""
1,Что из перечисленного не относится к термической обработке металлов и сплавов?,Уход,Закалка,Старение,Отпуск
2,Действие эпилога какого романа происходит в Сибири?,«Преступление и наказание»,«Униженные и оскорбленные»,«Отцы и дети»,«Война и мир»
3,Сборная какой европейской страны была чемпионом мира по регби?,Англия,Ирландия,Уэльс,Франция
4,Кто из куриных является перелетной птицей?,Перепел,Павлин,Индейка,Фазан
5,За что в старину отвечал армейский хорунжий?,За Знамя,За пленных,За лошадей,За провиант
6,Какая страна считает себя родиной картофеля фри?,Бельгия,Перу,США,Китай
7,Без какого предмета одежды явился «поздравить министра в именины» герой стихотворения А. К. Толстого «Сон Попова»?,Панталоны,Галстук,Фрак,Жилет
8,"Кто сказал про Высоцкого такие слова: ""Он рождён был поэтом. Имел дар божий — поэта. Это был замечательный русский поэт. И это было во Владимире самое ценное""?",Юрий Любимов,Василий Аксенов,Михаил Шемякин,Андрей Тарковский
9,Как назывался проект идеальной тюрьмы Иеремии Бентама?,Паноптикон,Домзак,Нова Проспект,Азкабан
