,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая единственная российско-советская футбольная команда ни разу не покидала высшую лигу чемпионата страны?,Динамо Москва,Спартак Москва,ЦСКА Москва,Алания Владикавказ
1,Кто из украинских президентов до своего избрания получил широкую известность как комедийный актёр?,Владимир Зеленский,Виктор Ющенко,Леонид Кучма,Виктор Янукович
2,"Как называлась первая книга, напечатанная на печатном станке?",Библия,Евангелие от Матфея,Апостол,Катехизис
3,Что такое аккузатив?,Винительный падеж,Дательный падеж,Предложный падеж,Творительный падеж
4,Дату какого религиозного праздника определяют в соответствии с положением Луны?,Пасха,День Святой Троицы,Рождество,Крещение
5,У какого футболиста уникальная манера праздновать голы — делать кульбит после забитого гола?,Мирослав Клозе,Франческо Тотти,Уэйн Руни,Фабио Квальярелла
6,Сколько городов России на 2015 год имели численность населения более 1 миллиона человек?,15,11,8,22
7,Какие ткани не являются соединительными?,Эпителиальные,Костные,Хрящевые,Жировые
8,Кто из двенадцати апостолов умер собственной смертью в глубокой старости?,Иоанн,Матфей,Варфоломей,Иаков
9,Какой из замков Литвы является единственным расположенным на острове?,Тракайский,Раудонский,Биржайский,Медницкий
