,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что меняют пилоты во время пит-стопов гонки «Формула-1»?,колёса,болид,фары,комбинезон
1,Растение с каким названием существует?,Мышиный горошек,Бобровый боб,Крысиная фасоль,Хомячковый стручок
2,У какого металла самая низкая температура плавления?,ртуть,олово,цинк,свинец
3,Что применялось для изготовления корсажного белья?,китовый ус,ястребиный коготь,волчьи зубы,козлиная борода
4,Кто из этих актёров НЕ американец?,Орландо Блум,Джонни Депп,Брэд Питт,Том Круз
5,"За чем наблюдали в Древнем Риме жрецы-авгуры, чтобы толковать волю богов?",за птицами,за звёздами,за вулканами,за молниями
6,Сколько зубов у взрослой здоровой кошки?,30,36,32,42
7,Какой из этих национальных парков находится в Перу?,Ману,Игуасу,Эверглейдс,Гранд-Каньон
8,Кто из них не являлся исследователем Арктики?,Алексей Федченко,Георгий Седов,Василий Прончищев,Артур Чилингаров
9,Какая из этих железнодорожных веток Калининградской области - неэлектрофицированная?,Калининград - Балтийск,Калининград - Зеленоградск,Калининград - Светлогорск,Зеленоградск - Пионерский
