,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как учится нерадивый школьник?,шаляй-валяй,пиши-читай,шалтай-болтай,тяни-толкай
1,"Какой член предложения, согласно школьной программе по русскому языку, при синтаксическом разборе подчеркивается пунктирной линией?",Дополнение,Обстоятельство,Подлежащее,Определение
2,Чему равно произведение тангенса угла на его котангенс?,единице,нулю,синусу,бесконечности
3,"Кто автор картины ""Голубые ели""?",Шишкин,Ван Гог,Васнецов,Пикассо
4,Кто режиссёр фильма «Мужчина и женщина»?,Клод Лелуш,Клод Шаброль,Доминик Ури,Франсис Вебер
5,Как называется зоопарк в городе Красноярске?,Роев ручей,Кудыкина гора,Воробьи,Лимпопо
6,"Какой поэт после размышления пришёл к выводу: «Люблю ли тебя, я не знаю, но кажется мне, что люблю»?",А. Толстой,Е. Баратынский,Д. Веневитинов,К. Батюшков
7,Чему посвящена одна из фресок на железнодорожном вокзале Екатеринбурга?,Уничтожению U-2 пилота Пауэрса,Первому полету братьев Райт,Высадке Нила Армстронга на Луну,Подвигу Николая Гастелло
8,"Какой аргентинский фильм 2009 года получил премию ""Юг"" (Аргентина), ""Гойя"" (Испания) и ""Оскар"" (США)?","""Тайна в его глазах""","""Мир крановщика""","""Девять королев""","""Официальная версия"""
9,"Какому древнегреческому драматургу принадлежат строки: ""Небеса не знают состраданья. Сила — милосердие богов""?",Эсхил,Аристофан,Еврипид,Софокл
