,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какая профессия была у Юрия Живаго, героя романа Пастернака?",врач,учитель,адвокат,священник
1,Какой фразой начинается монолог Жака в пьесе Шекспира «Как вам это понравится»?,«Весь мир — театр»,«Вся вселенная — цирк»,«Театр начинается с вешалки»,«Не верю!»
2,Какого сына НЕ было у российского императора Павла I?,Петр,Александр,Николай,Константин
3,Какой вокзал Москвы раньше назывался Рязанским?,Казанский,Рижский,Ярославский,Белорусский
4,Как профессиональные музыканты называют древко смычка?,Трость,Кий,Лом,Бита
5,"Какую страну римляне называли ""Каледония""?",Шотландию,Англию,Германию,Италию
6,"Какому древнему государству изобретение ""греческого огня"" помогло установить господство на морях?",Византия,Финикия,Греция,Карфаген
7,Во что заяц играл с белками в новогодней сказке Маршака «Двенадцать месяцев»? ,Горелки,Прятки,Жмурки,Догонялки
8,Кто был первым биографом Лермонтова?,П.Висковатый,В.Белинский,А.Левис,С.Раевский
9,Кто издал рескрипт об основании города Одесса?,Екатерина II,Павел I,Пётр III,Елизавета I
