,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Песня с каким названием есть в репертуаре Софии Ротару?,Хуто-хуторянка,Ого-огородница,Да-да-да-да-дачница,Ферме-ферме-фермерша
1,"Русский адмирал, начальник экспедиции 1819-1821 годов, открывший Антарктиду.",Ф.Ф. Беллинсгаузен,А. Никитин,Г.Я. Седов,В. Беринг
2,Где происходит действие первой повести Стругацких «Страна багровых туч»?,на Венере,на Юпитере,на Марсе,на Луне
3,"Кто автор слов ""Умом Россию не понять...""?",Ф. И. Тютчев,А. С. Пушкин,Н. А. Некрасов,М.  Ю. Лермонтов
4,Каким типом вертолета управлял Валико Мизандари по прозвищу Мимино?,МИ-2,МИ-4,МИ-4П,МИ-8
5,"Что означает арабское слово «хам», от которого произошло название турецкой бани «хаммам»? ",Жар,Пена,Здоровье,Чистота
6,"Кто возглавлял бесследно исчезнувший экипаж, совершавший третий перелет из СССР в США в 1937 году?",Леваневский,Черевичный,Ляпидевский,Грацианский
7,"Какая ассоциативная область коры больших полушарий головного мозга отвечает за анализ пространственных координат тела, понимание речи, чтение и наименование объектов?",теменно-затылочно-височная ассоциативная область,лимбическая ассоциативная область,префронтальная ассоциативная область,курская область
8,Кто написал слова песни: «Переведи меня через майдан»?,Виталий Коротич,Юрий Кукин,Вадим Егоров,Анатолий Полотно
9,"В каком году было ""Кровавое воскресенье"" в Лондондерри (Северная Ирландия)?",1972,1974,1969,1976
