,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько планет-гигантов в Солнечной системе?,4,5,3,2
1,Кто в известной картине Василия Перова остановился на привале?,Оxотники,Туристы,Солдаты,Рыболовы
2,"Частью какой оперы являются ""Половецкие пляски""?","""Князь Игорь""","""Снегурочка""","""Руслан и Людмила""","""Садко"""
3,Какие карты не потребуются для игры в преферанс?,Шестёрки,Семёрки,Тузы,Короли
4,Какая свадьба празднуется после одного года брака?,Ситцевая,Деревянная,Фарфоровая,Жестяная
5,"Когда ""рухнула"" Берлинская стена?",В ноябре 1989,В декабре 1989,В октябре 1989,В январе 1990
6,Какой язык считается официальным в южноамериканской стране Республике Суринам?,Нидерландский,Французский,Португальский,Испанский
7,Какая из этих футбольных сборных не вышла в полуфинал европейского чемпионата-2000?,Испания,Франция,Италия,Голландия
8,Какому цвету видимого спектра соответствует длина волны 490 нм?,Голубой,Зеленый,Синий,Желтый
9,От какой группы вымерших организмов произошли млекопитающие?,Цинодонты,Цератопсиды,Тероподы,Тетануры
