,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько было стульев в телекабачке?,13,12,6,10
1,В чём собирались вымыть резиновую Зину в одноимённом стихотворении А. Барто?,В бензине,В компоте,В шампуне,В воде
2,Сколько раз в сутки остановившиеся часы показывают правильное время?,2,1,0,4
3,"Что, по словам Максима Горького, необходимо, чтобы иметь право критиковать?",Верить в какую-то истину,Не стыдиться оказаться неправым,Его заслужить,"Самому знать и уметь, как сделать лучше"
4,Где обитает эму?,Австралия,Индонезия,Африка,Южная Америка
5,Ацетаты — это соли какой кислоты?,Уксусной,Щавелевой,Угольной,Молочной
6,Какая страна выпускает самолеты марки Bombardier?,Канада,Франция,Великобритания,Бразилия
7,"К какому семейству относятся такие роды, как золотарник, левзея, артишок?",астровые,стилидиевые,колокольчиковые,вахтовые
8,Кто из этих российских террористов состоял в партии эсеров?,И. Каляев,Н. Кибальчич,С. Перовская,В. Засулич
9,Какое из этих событий произошло в 1925 году?,Царицын переименован в Сталинград,Армия Гоминьдана начала Северный поход,Убит советский дипкурьер Т. И. Нетте,"Создана хоккейная команда ""Бостон Брюинз"""
