,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как чаще всего называются интернет-тарифы без ограничения в трафике?,Безлимитные,Свободные,Наглые,Фиксированные
1,Какая из этих премий впоследствии была переименована в Государственную премию СССР?,Сталинская,Ленинская,Ломоносовская,Нобелевская
2,Чего нет у альбиноса?,Меланина,Гемоглобина,Миоглобина,Адреналина
3,Какой из перечисленных городов был расположен на территории ГДР?,Франкфурт-на-Одере,Мюнхен,Кельн,Франкфурт-на-Майне
4,Какой из шляпочных грибов самый ядовитый?,Бледная поганка,Энтолома ядовитая,Желтокожий шампиньон,Красный мухомор
5,Кто был союзником Франции в войне за испанское наследство?,Испания,Австрия,Англия,Нидерланды
6,Какой из этих классов минералов не относится к кислородным солям?,Оксиды,Карбонаты,Нитраты,Хроматы
7,Кто был первым лауреатом Нобелевской премии по физике?,Рентген,Беккерель,Лоренц,Рэлей
8,Царем какого греческого государства был предводитель ахейского войска в Троянской войне Агамемнон?,Микен,Спарты,Афин,Фив
9,Высочайшая вершина Африки — Килиманджаро состоит из трех вулканических конусов. Какой из перечисленных является четвертым-лишним?,Фогу,Кибо,Мавензи,Шира
