,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из этих органов находится не в грудной полости?,Селезенка,Тимус,Сердце,Легкие
1,"Из чего делают в страшный праздник Хэллоуин ""светильник Джека""?",тыква,бумага,шоколад,лопух
2,Что измеряют в беккерелях?,Радиацию,Освещенность,Индукцию,Гравитацию
3,Какую мужскую оперную партию обычно исполняет женщина?,Лель,Ленский,Лепорелло,Левко
4,Каким государством управляет диумвират: президент Франции и епископ Урхельский?,Андорра,Монако,Мальта,Люксембург
5,"Какой город представляет баскетбольный клуб НБА ""Кавальерс""?",Кливленд,Портленд,Торонто,Сан-Антонио
6,На флаге какого из этих государств нет изображения растительности?,Кения,Ливан,Канада,Белиз
7,Согласно завещанию какого автора его знакомым вместе с извещением о смерти вручались его книги?,И. А. Крылов,В. А. Жуковский,М. В. Ломоносов,Г. Р. Державин
8,"Название столицы какого государства переводится как ""Красный богатырь""?",Монголия,Бруней,КНДР,Саудовская Аравия
9,Какой из этих элементов открыл не Георгий Николаевич Флёров?,Сиборгий,Лоуренсий,Дубний,Резерфордий
