,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что должно было возгореться из искры в стихотворении А. И. Одоевского?,Пламя,Костер,Факел,Зимний дворец
1,Что из перечисленного не относится к мостовым сооружениям?,Бивуак,Эстакада,Виадук,Акведук
2,Как в цирке называют регулировку хода коня и контроль за преодолением барьеров?,Пассировка,Панировка,Фри,Кляр
3,Какого из этих цветов нет на флаге Болгарии?,Синего,Красного,Белого,Зеленого
4,Какие года являются годами змеи?,"1941, 1953, 1965, 1977,  1989, 2001, 2013, 2025","1940, 1952,  1964, 1976,  1988, 2000, 2012, 2024","1943, 1955, 1967, 1979,  1991, 2003, 2015, 2027","1939, 1951, 1963, 1975, 1987, 1999, 2011, 2023 "
5,"Что случилось с Хрустальным дворцом, построенным для Всемирной выставки 1851 года в Лондоне?",Сгорел при пожаре,Снесли по приказу королевы,Разрушили при бомбардировке,Разрушили вандалы
6,Какого «котла» не было в Великую Отечественную войну?,Воронежского,Вяземского,Киевского,Лужского
7,"Как назывался период итальянской истории и культуры, охватывающий XVII век?",сейченто,новеченто,тарченто,чинквеченто
8,"Жан-Поль Сартр писал: «мир несправедлив; раз ты его приемлешь — значит, становишься сообщником, а захочешь изменить — станешь палачом». А что нужно делать, если хочешь заслужить ад?",Не вылезать из своей кровати,Создать его в своей душе,Возомнить себя достойным рая,"Не вырываться из ада, в котором живёшь"
9,Кто ввёл в русский алфавит букву «Ё»?,Николай Карамзин,Михаил Ломоносов,Александр Сумароков,Гавриил Державин
