,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что, согласно старой традиции, российский солдат ответит на замечание командира?","""Виноват, исправлюсь""","""Прости, начальник""","""Не виноватый я""","""Сам такой"""
1,"Кто является главным редактором киножурнала ""Ералаш""?",Грачевский,Радзинский,Ганапольский,Грушевский
2,Что такое размазня?,жидкая каша,клей для обоев,цементный раствор,смесь красок на палитре
3,Кто нёс флаг сборной России на открытии Олимпиады в Пекине?,Андрей Кириленко,Алина Кабаева,Андрей Сильнов,Динара Сафина
4,Где происходит действие в опере Дж. Пуччини «Турандот»?,В Китае,В Италии,В Индии,В Персии
5,"По мнению этого автора, «хороший способ забыть о целом — пристально рассмотреть детали».",Чак Паланик,Козьма Прутков,Ежи Лец,Григорий Сковорода
6,Какой термин происходит от названия сочинения аль-Хорезми «Книга о восстановлении и противопоставлении»?,Алгебра,Планиметрия,Стереометрия,Геометрия
7,Чему равен один британский фут?,30.48 см,30.50 см,30.43 см,30.52 см
8,Какой артист Московского гастрольного театра комедии был известен своими гениальными пародиями на многих мхатовских актеров?,Геннадий Дудник,Николай Скоробогатов,Борис Чукаев,Федор Одиноков
9,"Кто из перечисленных художников не входил в четвёрку создателей арт-группы ""Мост"", положившей начало немецкому экспрессионизму?",Макс Пехштейн,Эрнст Людвиг Кирхнер,Эрих Хеккель,Карл Шмидт-Ротлуф
