,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто из российских певцов попал в Книгу рекордов Гиннесса за широту диапазона голоса?,Сергей Пенкин,Витас,Владимир Пресняков,Николай Басков
1,Столицей какого государства является Осло?,Норвегия,Дания,Финляндия,Монголия
2,"Кто из участников корриды — всадник, приводящий быка в ярость уколами копья?",Пикадор,Бандерильерос,Тореадор,Матадор
3,"Какой из этих фразеологизмов служит синонимом старья, беспорядка?",Шурум-бурум,Шахер-махер,Шито-крыто,Шаляй-валяй
4,Каким прилагательным физики зачастую характеризуют теорию относительности А. Эйнштейна?,Релятивистская,Когерентная,Квантовая,Корреляционная
5,Какой художник в 1973 году с кратковременным визитом посетил Москву и Ленинград?,Марк Шагал,Василий Кандинский,Николай Рерих,Александр Бенуа
6,Кто из этих французов не был живописцем?,Жан-Мартен Шарко,Поль Шабас,Гюстав Жаке,Отон Фриез
7,Кто был единственным госсекретарем в истории РСФСР и РФ?,Г. Бурбулис,Г. Янаев,Н. Рыжков,Р. Хасбулатов
8,Какая из этих карликовых планет Солнечной системы не имеет спутников?,Церера,Хаумеа,Плутон,Эрида
9,Какое максимальное количество украшений допустимо иметь на себе и одежде по международному протоколу?,13,5,8,3
