,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что меняет хозяйка, работающая с кухонным комбайном?",насадки с ножами,срок гарантии,постоянный ток на переменный,тормозную жидкость
1,Как называется знаменитое китайское национальное блюдо?,утка по-пекински,курица по-харбински,индюшка по-даляньски,гусь по-шанхайски
2,Что с декабря прошлого года есть во всех поездах Московского метрополитена?,Беспроводной интернет,Автоматы с водой,Телевизоры,Свежая пресса
3,Где работал брат Шерлока Холмса Майкрофт в рассказах Артура Конан Дойла?,В министерстве,В полиции,В университете,В редакции газеты
4,Чем лечит апитерапевт?,Пчелиным ядом,Змеиным ядом,Травами,Массажем
5,Что в финальном матче чемпионата мира по футболу 1994 года произошло впервые?,закончился серией пенальти,не было предупреждений,не было угловых,удалили обоих вратарей
6,Сколько поколений ЭВМ существует? ,4,6,5,3
7,Как в Древней Греции называли прорицательниц?,Сивиллы,Корониды,Пропетиды,Энотрофы
8,Какой остров относится к Понцианским островам?,Пальмарола,Искья,Прочида,Капри
9,"Кто стал первым темнокожим актером, получившим ""Оскар"" за лучшую мужскую роль?",Сидни Пуатье,Делрой Линдо,Майкл Кларк Дункан,Морган Фримен
