,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой цвет отсутствует на флаге Германии?,Голубой,Красный,Желтый,Черный
1,На эмблеме какого итальянского автомобильного производителя изображена лошадь?,Ferrari,Fiat,Alfa Romeo,Lamborghini
2,Кто в греческой мифологии поддерживал небесный свод плечами?,Атлант,Зевс,Аргус,Тифон
3,Как называлась система политического сыска в России конца 16-18 вв.?,"""Слово и Дело Государево""","""Око недреманное""","""Око Государево""","""Корона, Государь, Бог"""
4,В каком романе Ф.М. Достоевского главная героиня кидает в огонь пачку денег?,«Идиот»,«Бесы»,«Игрок»,«Подросток»
5,"В каком году была возведена печально известная ""Берлинская стена""?",1961 г.,1947 г.,1953 г.,1950 г.
6,Какой из этих древних народов говорил на арамейском языке?,Халдеи,Мидийцы,Лидийцы,Шумеры
7,Какой модельер создал первый дом «от кутюр»?,Чарльз Уорт,Кристиан Диор,Пьер Карден,Коко Шанель
8,По какому мирному договору Венгрия лишилась двух третей своей территории?,Трианонский,Версальский,Сен-Жерменский,Лозаннский
9,"Перу какого писателя принадлежит сборник рассказов ""Конец игры""?",Хулио Кортасар,Альберто Моравиа,Сомерсет Моэм,О. Генри
