,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое название получила советская экономическая политика во время Гражданской войны?,«Военный коммунизм»,«Боевой либерализм»,«Нейтральный анархизм»,«Угарный милитаризм»
1,Как в Древней Руси называли скупщика рыбы или мяса?,Прасол,Уздень,Вырник,Рында
2,Владельцем чего не был Мистер Твистер?,Самолетов,Пароходов,Газет,Заводов
3,Как заканчивается название рассказа Василия Шукшина: «Мой зять...»?,Украл машину дров!,Слушает «Голос Америки»!,Инопланетянин!,Редкостная сволочь!
4,"Название какой из этих древних столиц в переводе означает: ""Пуп Земли""?",Куско,Эдо,Вавилон,Ниневия
5,Какой самый крупный грызун на Земле?,Капибара,Байбак,Бобр,Агути
6,В кухне какой страны соус «бешамель» является одним из пяти основных соусов национальной кухни?,Франция,Италия,Испания,Греция
7,Какой из этих ядов продуцируется в организме рыб?,Тетродотоксин,Кураре,Мускарин,Афлатоксин
8,"Что на Руси, согласно примете, обещал богатый урожай орехов?",Урожай ржи,Урожай льна,Урожай овса,Урожай пшеницы
9,Какой мореплаватель основал город Петропавловск-Камчатский?,И. Ф. Елагин,И. Ф. Крузенштерн,Ф. Ф. Беллинсгаузен,В. Баренц
