,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто сражался с ветряными мельницами?,Дон Киxот,Д&#39;Артаньян,Ричард Львиное Cердце,Дон Жуан
1,Как назывались античные и средневековые летописи у некоторых народов?,Анналы,Хартии,Аммоналы,Кодексы
2,Желна - это вид какой птицы?,Дятла,Иволги,Кукушки,Сойки
3,"Какая из этих команд собаке, означает ""принеси""?",Апорт!,Тубо,Фас!,Куш!
4,Какой из городов не является административным центром какого-нибудь американского штата?,Вашингтон,Солт-Лейк-Сити,Олбани,Бостон
5,Какая из этих пар танцоров на льду дважды становилась олимпийскими чемпионами?,Грищук - Платов,Лобачева - Авербух,Линичук - Карпоносов,Навка - Костомаров
6,Какой из этих африканских хищников обитает также в центральной части Ирана?,Гепард,Сервал,Гиеновидная собака,Пятнистая гиена
7,Какая станция метрополитена является самой глубокой в мире?,"Арсенальная, Киев","Пухунг, Пхеньян","Адмиралтейская, Санкт-Петербург","Парк Победы, Москва"
8,"Как звали начальника Генерального штаба Японской империи, подписавшего 2 сентября 1945 года Акт о капитуляции, завершившего Вторую мировую войну?",Умэдзу Ёсидзиро,Томиока Тадатоси,Сигемицу Мамору,Миякадзи Суити
9,Кому и в какой глаз впился князь Гвидон в образе комара?,Поварихе в правый,Поварихе в левый,Ткачихе в левый,Ткачихе в правый
