,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"О каком времени года Юрий Шевчук писал, что это небо, это ветер, это камни?",осень,лето,весна,зима
1,Как назывался известный сборник стихов Сергея Есенина?,"""Москва кабацкая""","""Москва трактирная""","""Москва клубная""","""Москва ресторанная"""
2,Чьё имя носит парижский аэропорт?,Шарля де Голля,Джо Дассена,Виктора Гюго,Жана Франсуа Лаперуза
3,Где прошел Чемпионат мира по футболу 2002 году?,Азия,Европа,Южная Америка,Африка
4,Костью какого отдела человеческого скелета является сошник?,Череп,Таз,Верхний плечевой пояс,Позвоночник
5,"Как называется кислота, химическая формула которой: HClO?",Хлорноватистая,Хлористая,Хлорноватая,Хлорная
6,Кто автор афоризма: «На беспристрастном безмене истории кисть Рафаэля имеет одинаковый вес с мечом Александра Македонского»?,Козьма Прутков,Гавриил Батеньков,Алексей Апухтин,Евгений Баратынский
7,"Какое литературное произведение занимает первое место в списке ""100 лучших романов Новейшей библиотеки"" по версии влиятельного издательства Modern Library?","""Улисс"" Джеймса Джойса","""1984""  Джорджа Оруэлла","""Война и мир"" Льва Толстого","""Шум и ярость"" Уильяма Фолкнера"
8,"Кто придумал термин ""смог"", ""скрестив"" дым (smoke) и туман (fog)?",Генри Антуан де Во,Томас Юнг,Оскар Уайлд,Луи Пастер
9,"Кому принадлежат слова: «Что делала Россия в своей политике, как не служила Европе гораздо более, чем себе самой»?",Ф. М. Достоевский,А. С. Пушкин,И. А. Гончаров,Н. Г. Чернышевский
