,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое акционерное общество обозначается буквой З в аббревиатуре ЗАО?,Закрытое,Запечатанное,Замурованное,Законсервированное
1,Когда тени короче?,Летом,Зимой,Осенью,Весной
2,Какой частью речи является слово «тпру»?,Междометие,Местоимение,Наречие,Существительное
3,В какой стране проходила Зимняя Олимпиада 1998 года?,Япония,Швейцария,Франция,Норвегия
4,В какое время года впервые человек ступил на Луну?,Лето,Осень,Весна,Зима
5,"Кому принадлежит высказывание: «Я был, есть и остаюсь русским человеком, сыном родины, её жизнью прежде всего интересуюсь, её интересами живу, её достоинством укрепляю своё достоинство»?",И. П. Павлов,И. М. Сеченов,Д. И. Менделеев,И. В. Курчатов
6,Как медики называют анатомический горб?,Кифоз,Сколиоз,Описторхоз,Лордоз
7,Команда какой страны стала победительницей первого чемпионата мира по футболу?,Уругвай,Бразилия,Ямайка,Аргентина
8,"Какого форварда сборной Бразилии по футболу за буйный нрав болельщики прозвали ""Скотиной""?",Эдмундо,Жаирзиньо,Жулио Баптиста,Карека
9,В качестве кого кавалергард Карл Густав Маннергейм находился на коронации Николая II?,Ассистент коронации,Жандарм,Императорская личная охрана,Сотник лейб-казачьего полка
