,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кем оказался ""настоящий полковник"" в песне из репертуара Аллы Пугачёвой?",Уголовником,Лейтенантом,Подполковником,Капитаном
1,В каком виде спорта разыгрывается кубок Гагарина?,Хоккей,Керлинг,Авиаспорт,Горные лыжи
2,"Для защиты от какого животного в Австралии построили сетку длиной 8500 километров, дабы избежать потери овец?",Динго,Кенгуру,Тасманский волк,Сумчатый лев
3,Гипотетических жителей какого небесного тела фантасты иногда называют селенитами?,Луны,Солнца,Кометы Галлея,Марса
4,Что такое мякина?,отходы при молотьбе,хлебный мякиш,проросшие зёрна,хлебная корка
5,"Какой литературный герой, согласно названию книги, был сначала хирургом, а потом капитаном?",Лемюэль Гулливер,Робинзон Крузо,Гарри Грант,Филеас Фогг
6,"Что иллюзионистка Сильвия Лин при помощи своего ассистента Эвери Чина сделала 18 раз за 1 минуту, попав в Книгу рекордов Гиннесса?",Переоделась,Села на шпагат,Сменила прическу,Освободилась от наручников
7,Какой город США имеет полноразмерную копию греческого Парфенона?,"Нэшвилль, Теннесси","Джеконсвиль, Флорида","Афины, Джорджия","Саванна, Джорджия"
8,"Какая организация в России, согласно указу Петра I, имела монопольное право на подготовку и выпуск печатных календарей?",Российская академия наук,Печатный двор,Коммерц-коллегия,Камер-коллегия
9,Кто является автором языка программирования LISP?,Джон Маккарти,Никлаус Вирт,Брендан Эйх,Ларри Уолл
