,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется один из видов ласточки?,Касатка,Косушка,Косатка,Касатик
1,"На каком автомобиле, по мнению советского футболиста из песни Высоцкого, ездит Пеле в Рио-де-Жанейро?",Шевроле,Крайслер,Форд,Бентли
2,Какого цвета мультипликационный герой Шрек?,Зелёного,Жёлтого,Синего,Красного
3,Что Бегемот предложил выпить булгаковской Маргарите после бала?,Спирт,Шампанское,Красное вино,Водку
4,Какое место в мире по размеру территории занимает Бразилия?, 5, 11, 8, 4
5,"Кому посвящена опера Клаудио Монтеверди ""Коронация Поппеи""?",жене Нерона,царице Коринфа,царице Библа,супруге Юстиниана I
6,"К какому виду одежды относятся детали: штрипка, шлевка, откосок?",Брюки,Юбка,Платье,Пиджак
7,В каком городе памятник В.И.Ленину был открыт на следующий день после его  смерти - 22 января 1924 года?,Ногинск,Петрозаводск,Дубна,Кольчугино
8,Какое из этих заболеваний относят к системным?,Болезнь Бехтерева,Болезнь Вильсона,Болезнь Паркинсона,Болезнь Боткина
9,В каком году официально открылся Панамский канал?,1920,1914,1910,1901
