,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как  называют радио, телевидение и интернет?",Электронные СМИ,Электроратные СМИ,Электрические СМИ,Электра-СМИ
1,Какое название получил витиеватый стиль поздней готической архитектуры?,Пламенеющая готика,Горящая готика,Затухающая готика,Обугленная готика
2,В какой части шахматной партии возможно использование гамбита?,Дебют,Миттельшпиль,Эндшпиль,В любой
3, С какой страной Швейцария не граничит?,Чехия,Австрия,Италия,Франция
4,Сколько озёр в России?,Более двух миллионов,Три миллиона,Около одного миллиона,Почти полтора миллиона
5,Кто из этих известных писателей фантастов - англичанин?,Артур Кларк,Айзек Азимов,Стивен Кинг,Рэй Бредбери
6,Со сколькими странами граничит Испания?,5,4,2,3
7,"Что связывает Дениса Давыдова с деревней Бородино, сожжённой во время одноимённого сражения?",был сыном её владельца,отстроил её после войны,был там похоронен,оборонял её от французов
8,"Восстановите пропуск в размышлении Ванталы из китайского канонического сборника «Слова Ванталы»: «Если ... смеется - значит, у него есть на то причины».",Череп,Меч,Враг,Сумасшедший
9,Какое племенное объединение существовало около 1000 лет (1100 г. до н.э. – 150 н.э.) на востоке современного Китая?,дунху,сяньби,ухуань,хунну
