,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из этих разделов не относится к физике?,Этнология,Механика,Акустика,Оптика
1,Что лондонцы часто называют просто «трубой»?,столичное метро,памятник Нельсону,туннель под Ла-Маншем,телескоп в Гринвиче
2,"О какой породе собак говорят: «Пока гладишь — мил да хорош, не поладишь — костей не соберешь»?",Волкодав,Тазы,Грейхаунд,Салюки
3,Основателем какого теософского направления в Китае считают Лао-Цзы?,Даосизм,Легизм,Конфуцианство,Моизм 
4,"У каких киногероев Эльдара Рязанова была одна ""киномама"" - Любовь Добржанская?",Жени Лукашина и Юрия Деточкина,Шурочки Азаровой и Нади Шевелевой,Ларисы Огудаловой и Леночки Крыловой,Анатолия Новосельцева и Ипполита
5,Какой город был первой столицей Белорусской ССР?,Смоленск,Вильно,Витебск,Гомель
6,Чьим сыном был древнегреческое божество Протей? ,Посейдона,Аида,Зевса,Кроноса
7,К какой из этих величин (в долях кубометра) ближе всего нефтяной баррель?,"0,16","0,24","0,20","0,28"
8,Первым ведущим какой телевизионной программы  был Александр Васильевич Масляков?,"""Что? Где? Когда?""","""КВН""","""Спокойной ночи, малыши!""","""В мире животных"""
9,Какой девиз у штата Калифорния (США)?,Эврика,Усердие,Надежда,Дружба
