,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой роман есть у Н. Г. Чернышевского?,"""Что делать?""","""Как быть?""","""Куда податься?""","""Кто виноват?"""
1,Как называется предмет одежды?,кардиган,ятаган,балаган,чистоган
2,Драгоценный камень какого цвета в древности называли карбункул?,Красный,Чёрный,Жёлтый,Голубой
3,"Какой актёр озвучивал и Ельцина, и Жириновского в популярной в 90-е годы программе ""Куклы""?",Сергей Безруков,Константин Хабенский,Евгений Миронов,Гоша Куценко
4,"Как называется длинный двубортный пиджак, доходящий спереди до талии?",Сюртук,Камзол,Блейзер,Ливрея
5,"Как звали космонавта, звание первого человека в космосе которого в самый последний момент забрал Гагарин?",Г. С. Титов,Н. О. Армстронг,Ю. М. Батурин,Ю. И. Онуфриенко
6,"В связи с наступлением какого события Екатерина II устроила ""бриллиантовую"" масленицу, раздарив приближённым за вечер 150 бриллиантов?",Рождение внука Александра,День рождения сына Павла,Собственные именины,Заключение Ясского мирного договора
7,В каком городе России установлен памятник писателю Сергею Михалкову?,В Москве,В Санкт-Петербурге,В Ярославле,В Нижнем Новгороде
8,"Труппа какого театра встретила начало Великой Отечественной войны в Минске, в котором находилась на гастролях с 16 до 24 июня 1941 года?",МХАТ,Московский ТЮЗ,Театр им. Е. Б. Вахтангова,Большой театр
9,Повести с каким названием не найти в цикле «Евразийская симфония» Хольма ван Зайчика?,"""Дело шаолиньских монахов""","""Дело о полку Игореве""","""Дело лис-оборотней""","""Дело незалежных дервишей"""
