,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается известная поговорка ""Хочешь жить, умей...""?",Вертеться,Двигаться,Крутиться,Кружиться
1,Сколько опер написано Бетховеном?,1,5,4,8
2,Кого из великих российских путешественников звали Фаддей Фаддеевич?,Беллинсгаузен,Миклухо-Маклай,Дежнев,Беринг
3,Как называется хоккейный «асфальтовый каток»?,Ринк,Дохё,Трек,Ринг
4,За какой футбольный клуб выступал английский футболист Девид Бэкхем?,"""Манчестер Юнайтед""","""Арсенал""","""Честор""","""Ливерпуль"""
5,"О каком городе так восторженно отзывался отец Фёдор, что благодарные жители поставили ему памятник?",Харьков,Ростов,Баку,Самара
6,Кому германский суд вынес смертный приговор на процессе 1933 года о поджоге рейхстага?,Маринус ван дер Люббе,Васил Танев,Георгий Димитров,Эрнст Торглер
7,Кто был первым лауреатом Нобелевской премии по физике?,Рентген,Беккерель,Лоренц,Рэлей
8,Чему или кому обязана своим названием Сарагоса?,Императору Августу,Королю Арагона,Саргассову морю,Юлию Цезарю
9,Какая страна первой разработала практически применённый реактивный самолёт?,Германия,Англия,СССР,Франция
