,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как назывался музыкальный проект Первого канала?,«Старые песни о главном»,«Главные песни о старом»,«Старые песни о новом»,«Новые песни ни о чём»
1,Что образует ДНК в организме человека?,цепочки,кольца,браслеты,ожерелья
2,Какой член предложения может быть прямым или косвенным?,дополнение,сказуемое,определение,обстоятельство
3,В какой стране законодательную власть осуществляет кнессет?,Израиль,Норвегия,Египет,Португалия
4,В каком пригороде Санкт-Петербурга можно полюбоваться Янтарной комнатой?,Пушкин,Петергоф,Павловск,Гатчина
5,"В какую столицу вы прилетели, если приземлились в аэропорту Манас?",в Бишкек,в Ереван,в Тбилиси,в Астану
6,В каком графстве находилось имение Баскервилей?,Девоншир,Эссекс,Кент,Хэмпшир
7,Какой период палеозойской эры был самым засушливым?,Пермь,Девон,Силур,Карбон
8,Какой из этих художников - бельгийский?,Лейкерт,Эпп,Мухо,Ширмер
9,"Племянницей какого короля Польши была известная ""Кровавая Графиня"" из Венгрии?",Стефан Баторий,Болеслав Храбрый,Казимир I,Генрих Валуа
