,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто является генеральным директором Первого канала?,Константин Эрнст,Александр Цекало,Владимир Познер,Александр Масляков
1,Какое из этих животных пока не стало символом ни одной из политических партий США или России?,Козел,Осел,Слон,Медведь
2,"Что из перечисленного нельзя описать омонимом, подходящим для трех остальных?",Вид пресмыкающихся,Шоколадный батончик,Планета солнечной системы,Древнеримский бог
3,Сколько кеглей можно максимально сбить за один удар в боулинге?,10,12,8,14
4,"Как продолжить афоризм Джорджа Бернарда Шоу: "" Сколько бы я всего узнал, если бы...""?",Не ходил в школу,Не влюблялся,Не был ирландцем,Не следовал Библии
5,Кто из космонавтов находился в космическом полете на «Востоке-5» одновременно с первым полетом Валентины Терешковой на «Востоке-6»?,Валерий Быковский,Павел Попович,Андриян Николаев,Владимир Комаров
6,"Какой из теннисных турниров был впервые проведен, чтобы собрать деньги на ремонт газонокосилки?",Уимблдон,Кубок Кремля,Роллан Гарос,Кубок Дэвиса
7,"Кем работал прототип главного героя романа Дюма «Граф Монте-Кристо», Франсуа Пико?",Сапожник,Портной,Кочегар,Художник
8,Где родилась поэтесса Черубина де Габриак?,В России,Во Франции,В Голландии,В Италии
9,"Кто стал последним из советских вокалистов, получивших звание лауреата премии Ленинского комсомола?",Александр Малинин,Олег Газманов,Игорь Тальков,Михаил Муромов
