,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого коня купает мальчик на картине Кузьмы Петрова-Водкина?,Красного,Пегого,В пальто,Стального
1,Как называется один из сортов баклажанов?,"""Буржуй""","""Купец""","""Пролетарий""","""Поп"""
2,Что из перечисленного не предназначено для приготовления пищи?,Тигель,Керосинка,Примус,Керогаз
3,"Какая страна отправляет ""Боинги"" в первый полёт?",США,Германия,Италия,Франция
4,Какую роль сыграл Никита Михалков в фильме Э. Рязанова «Жестокий романс»?,Паратов,Карандышев,Вожеватов,Кнуров
5,Что означает по-французски слово «буржуа»?,Горожанин,Хозяин,Ремесленник,Богач
6,Что потеряла Нина в драме «Маскарад» М. Ю. Лермонтова?,Браслет,Веер,Сережку,Кольцо
7,Что в переводе с языка гуарани означает название реки Уругвай?,Река разноцветных птиц,Великая река,Река индейцев,Река белых рыб
8,"Какими словами начинается первая глава ""Путешествия в Арзрум"" А. С. Пушкина?","... Из Москвы поехал я на Калугу, Белев и Орел","- Вот Эльбрус, — сказал мне казак-извозчик...","12 июля капитан Хлопов, в эполетах и шашке...",Я ехал на перекладных из Тифлиса
9,Какое дерево считается старейшим живущим из отдельно растущих деревьев с точно установленным возрастом?,Сосна Мафусаил,Сосна Прометей,Можжевельник Беннетта,Можжевельник Скофильда
