,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что в 1975 году Леонид Гайдай снял по произведениям Михаила Зощенко?,Кинофильм,Видеоклип,Мультфильм,Рекламный ролик
1,"Как переводится на украинский язык слово ""палач""?",Кат,Шир,Слайс,Чоп
2,Как правильно произносится название итальянской автомобильной компании Lamborghini?,Ламборгини,Ламборхини,Ламборджини,Ламборжини
3,"Как называется песня группы Modern Talking, которую они посвятили своему звукорежиссеру Родригесу?","""Брат Луи""","""Брат Кроу""","""Брат Лис""","""Брат Боуи"""
4,Какой из континентов является самым высоким (в среднем свыше 2000 метров над уровнем моря)?,Антарктида,Южная Америка,Австралия,Азия
5,На территории какой страны расположены Южные Карпаты?,Румыния,Венгрия,Югославия,Украина
6,"Аллегорические атрибуты какой музы — лавровый венок, труба и свиток?",Клио,Полигимния,Эвтерпа,Каллиопа
7,"У кого из этих актёров в фильмографии есть роли и Моцарта, и Сальери?",Иннокентий Смоктуновский,Валерий Золотухин,Рамаз Чхиквадзе,Пётр Глебов
8,Какой из авторов в юности подписывал свои тексты псевдонимом «-ъ»?,В. В. Маяковский,Э. Г. Багрицкий,С. А. Есенин,К. Д. Бальмонт
9,"В день летнего солнцестояния совершается обряд. Участникам завязывают глаза, и они пытаются проткнуть гуся ножом. В какой стране поддерживают эту традицию?",В Швейцарии,Во Франции,В Италии,В Германии
