,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как в начале XX века называли воспитанников военного училища?,юнкер,юниор,юнион,юнга
1,Какое отчество у Владимира Высоцкого?,Семёнович,Сергеевич,Владимирович,Степанович
2,"Какая порода собак известна в России под названием ""водолаз""?",Ньюфаундленд,Эрдельтерьер,Волкодав,Бульдог
3,"Какой музей был создан на основе коллекции живописи, собранной родом Медичи?",Галерея Уффици,Пинакотека Брера,Лувр,Прадо
4,Из скольких провинций состоит королевство Нидерланды?,12,14,11,10
5,Какое расстояние обозначала старорусская путевая мера «днище»?,День пути,Два дня пути,Семь дней пути,Двенадцать дней пути
6,Команда какой из этих стран чаще побеждала в общекомандном зачете на зимних Олимпийских играх?,Норвегия,Канада,США,Германия (включая ГДР)
7,"В честь кого (ещё при жизни) правительство Франции выпустило медаль, по краю которой была выбита надпись: «Благодетель человечества»?",Луи Пастер,Жак-Ив Кусто,Анн Голон,Ив Сен-Лоран
8,Какого типа кварков не существует?,P-кварк,U-кварк,S-кварк,T-кварк
9,К каким языкам относится афарский язык?,Кушитским,Берберо-ливиийским,Омотским,Чадским
