,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Чего или кого ждет чукча в чуме в песне Кола Бельды?,Рассвета,Оленей,Самолет,Открытия магазина
1,В каком городе княжил Рюрик?,Новгород,Смоленск,Киев,Суздаль
2,"Полуостров, отделенный от Африки Гибралтарским проливом.",Пиренейский,Галлипольский,Балканский,Апеннинский
3,Флаг какого из этих государств является трехцветным?,Габон,Грузия,Гондурас ,Греция
4,Где в человеческом организме находится крючковидная кость?,В кисти,В тазовом скелете,В стопе,В черепе
5,Какую последовательность иногда представляют как идеализированную популяцию кроликов?,Числа  Фибоначчи,Геометрическую прогрессию,Ряд Тейлора,Ряды Фурье
6,"В какой опере можно услышать написанный О. Козловским в форме полонеза торжественный гимн «Гром победы, раздавайся»?",«Пиковая дама» П. И. Чайковского,«Князь Игорь» А. П. Бородина,«Борис Годунов» М. П. Мусоргского,«Иван Сусанин» М. И. Глинки
7,"Как называется надгробный памятник в месте, которое не содержит останков покойного (символическая могила)?",Кенотаф,Транзи,Макабр,Гурий
8,В какой стране расположены Семь Рильских озёр?,Болгария,США,Швейцария,Франция
9,"Какой из этих японских писателей родился в час Дракона дня Дракона года Дракона, в связи с чем и получил своё имя?",Акутагава Рюноскэ,Харуки Мураками,Кобо Абэ,Юкио Мисима
