,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как заканчивается название 1-й симфонии П. И. Чайковского «Зимние…»?,Грёзы,Слёзы,Морозы,Курьёзы
1,Что НЕ входит в стандартную экипировку футболистов?,капа,гетры,бутсы,щитки
2,Что в автомобиле служит для отсоединения двигателя от коробки передач?,Сцепление,Руль,Тормоза,Дроссель
3,Из какого языка пришло слово «брудершафт»?,Немецкий,Английский,Французский,Итальянский
4,Какой косточки нет в вашем ухе?,уздечки,наковальни,молоточка,стремечка
5,Какое из этих слов написано здесь неправильно?,Корелляция,Аккредитация,Аппликация,Апелляция
6,Укажите годы жизни М. Ю. Лермонтова.,1814-1841,1868-1936,1799-1837,1828-1910
7,Когда возникла Речь Посполитая?,В 1569,В 1495,В 1521,В 1608
8,"Какой ученый ввел в 1842 году термин ""Динозавр""?",Ричард Оуэн,Гидеон Майтелл,Жорж Кювье,Уильям Баклэнд
9,Какую оперу слушает по радио Тимофеев в пьесе М. А. Булгакова «Иван Васильевич»?,«Псковитянка»,«Царская невеста»,«Иван Грозный»,«Борис Годунов»
