,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая революция разделила ЧССР на независимые Чехию и Словакию?,Бархатная,Атласная,Ситцевая,Шелковая
1,"Сколько, если верить народной наблюдательности, жизней у кошки?",9,3,40,7
2,"Эпиграф к ""Мастеру и Маргарите"" взят из...","""Фауста""","""Капитанской дочки""","""Золотого теленка""","""Войны и мира"""
3,Какой из этих аллюров лошадей является четырехтактным?,Шаг,Иноходь,Рысь,Галоп
4,Кто впервые ввел в России ордена как знак отличия?,Петр I,Иван IV,Екатерина II,Алексей Михайлович
5,"Как звали Малыша из сказки «Малыш и Карлсон, который живёт на крыше»?",Сванте,Бетан,Боссе,Кристер
6,"Кто из богинь не участвовал в суде Париса - конкурсе красоты, на котором пастух Парис выносит свой вердикт трём богиням?",Артемида,Афродита,Гера,Афина
7,Что из перечисленного не является бозоном?,мюон,фотон,гравитон,глюон
8,Кто из советских спортсменов установил на Олимпиаде три мировых рекорда в троеборье за один вечер? ,Ю. Власов,С. Елисеев,Ю. Зайцев,Л. Жаботинский
9,"Какой из этих биатлонистов совершил лучший прорыв (с 60-го на 10-е место) в гонке преследования, начиная с сезона 1996/1997?",Жульен Робер,Жан-Филипп Легелле,Николай Круглов,Тарьей Бё
