,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих растений рекордсмен по скорости роста?,Бамбук,Xвощ,Осока,Камыш
1,Кто является объектом изучения арахнолога?,Пауки,Многоножки,Раки,Насекомые
2,На берегу какой реки расположен Вашингтон?,Потомак,Ист-Ривер,Миссури,Гудзон
3,Сколько целых метров в одном дюйме?,Ни одного,Один,Три,Два
4,"«Тащит Тит последний гриб» — какой последний день, когда разрешалось заготовлять грибы на соленья, согласно примете?",7 сентября,1 октября,1 сентября,15 сентября
5,Из чего изготавливали монеты достоинством 10-50 копеек в СССР с 1961 по 1991 год?,Медно-никелевый сплав,Серебро,Медно-цинковый сплав,Никелевый сплав
6,Кем было аннексировано герцогство Урбино в 1625 году?,Папской областью,Королевством Сицилией,Османской империей,Пармским герцогством
7,На гербе какого из этих государств нет автомата Калашникова?,Того,Восточный Тимор,Мозамбик,Зимбабве
8,"Кто из этих великих импрессионистов в детстве пел в церковном хоре, руководимом Ш. Гуно?",Ренуар,Сислей,Моне,Сезанн
9,В произведении какого американского классика есть персонаж Флем Сноупс?,У. Фолкнер,Т. Вулф,Э. Хемингуэй,Ф. Фицджеральд
