,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Каким животным является анимационный персонаж Скуби-Ду?,Собакой,Выхухолем,Манулом,Котом
1,Кем была троянка Кассандра?,Пророчицей,Гетерой,Воительницей,Певицей
2,Какого цвета каски у военнослужащих миротворческих сил ООН?,Голубые,Красные,Зеленые,Белые
3,Какое из этих слов пишется с твёрдым знаком?,"С(ъ, ь)езд","П(ъ, ь)еса","Кон(ъ, ь)як","П(ъ, ь)едестал"
4,"Как звали друга Евгения Лукашина, вместо которого он улетел в Ленинград?",Павлик,Миша,Саша,Лёша
5,"Что в новогоднюю полночь должны съесть испанцы, если хотят счастья в наступающем году?",12 виноградин,12 стульев,12 лягушачьих лапок,12 устриц
6,В какой стране основная денежная единица называется боливар?,Венесуэла,Боливия,Эквадор,Перу
7,Какой из этих городов не является прибрежным Каспийскому морю?,Адлер,Баку,Астрахань,Махачкала
8,Какой город в русском жестовом языке изображается двумя направленными друг на друга пистолетами?,Пятигорск,Ставрополь,Санкт-Петербург,Грозный
9,Кем был создан международный искусственный язык бейсик-инглиш?,Чарльзом Огденом,Борисом Колкером,Дэниелом Тамметом,Полом Фроммером
