,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется фантастический фильм 1992 года?,«Газонокосильщик»,«Бетономешальщик»,«Чеснокодавильщик»,«Вагоновожатый»
1,Имя какого писателя носит определённый тип смеха?,Гомера,Омар Хайама,Конан Дойля,Пушкина
2,Какого из этих цветов нет на флаге республики Армения?,Белый ,Синий,Красный,Оранжевый
3,Как называлась первая печатная книга на Руси?,Апостол,Домострой,Азбука,Уложение
4,Какое дерево имеет разновидность имени Эрмана?,Берёза,Дуб,Сосна,Осина
5,Кто был первым награждён орденом Святого апостола Андрея Первозванного?,Фёдор Головин,Борис Шереметев,Пётр Первый,Александр Меншиков
6,Как называется традиционный национальный баварский костюм?,Трахтен,Фьйоудбунингюринн,Тагельмуст,Штраймл
7,Чем управляет гормон грелин?,чувством голода,сном,образованием пота,мышечным тонусом
8,За какое произведение И. С. Тургенев был посажен на съезжую и сослан в Спасское-Лутовиново в 1852 году?,"""Записки охотника""","""Накануне""","""Отцы и дети""","""Рудин"""
9,"Представители какого семейства млекопитающих, помимо кошачьих, умеют мурлыкать?",Виверровые,Лориевые (приматы),Моржовые,Куньи
