,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как иногда называют журналиста?,акула пера,щука клавиатуры,пиранья карандаша,барракуда авторучки
1,Какая из этих космических ракет не принадлежит США?,Протон,Юпитер,Циклон,Сатурн
2,"Как называется флаг Международного свода сигналов под символом «W», означающий «Мне нужна медицинская помощь»?",«Виски»,«Вода»,«Ветер»,«Вино»
3,Какая африканская страна являлась главным рынком работорговли?,Ангола,Заир,Зимбабве,Нигерия
4,В каком из этих городов находится первый в мире музей шпионажа?,Вашингтон,Мадрид,Лондон,Москва
5,Какой древнеримский император правил дольше других?,Октавиан Август,Цезарь,Траян,Веспасиан
6,Кто на церемонии открытия матча на первенство мира по шахматам в 1986 году стоял между Карповым и Каспаровым?,Маргарет Тэтчер,Гельмут Коль,Михаил Горбачёв,Рональд Рейган
7,В каком созвездии земного небосвода расположен «Великий аттрактор»?,Наугольника,Феникса,Зайца,Резца
8,"Какая поэтесса заявила с грустным оптимизмом: ""Я хуже, чем была, но лучше, чем буду...""?",Лариса Рубальская,Инна Бронштейн,Новелла Матвеева,Юнна Мориц
9,Как называется полное вытеснение магнитного поля из объёма проводника при его переходе в сверхпроводящее состояние?,Эффект Мейснера,Эффект Барнетта,Эффект Томсона,Эффект Керра
