,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется революционный роман Максима Горького?,"""Мать""","""Как закалялась сталь""","""Чапаев""","""Молодая гвардия"""
1,Что в семидесятые годы в СССР называли батником?,приталенную рубашку,шелковый галстук,раздельный купальник,короткую юбку
2,Кто написал повесть «Леди Макбет Мценского уезда»?,Н. Лесков,В. Набоков,Д. Мережковский,А. Куприн
3,Кто из этих людей противостоял Джеймсу Бонду?,Доктор Но,Доктор Зорге,Доктор Дулитл,Доктор Джекил
4,Как буквально переводится слово «пельмень» с языка коми?,Хлебное ухо,Мясо в муке,Слепленное руками,Горячая улитка
5,Какое из этих произведений Р. Леонкавалло балет?,"""Жизнь марионетки""","""Паяцы""","""Маленькая королева роз""","""Заза"""
6,Какая из этих книг Г. Сенкевича не входит в трилогию?,"""Крестоносцы""","""Огнем и мечом""","""Пан Володыёвский""","""Потоп"""
7,"С кого собирал налоги Земский приказ, созданный в 1564 году и просуществовавший до 1699 года?",с жителей Москвы,с крупных землевладельцев,с крестьян российских деревень,с торговцев зерном
8,"На месте какого памятника, взорванного в 1966 году боевиками ИРА, в 2003-м поставили знаменитую Дублинскую иглу (Монумент Света)?",Адмиралу Горацио Нельсону,Уинстону Черчиллю,Лорду-протектору Оливеру Кромвелю,Королеве Виктории
9,Какой башни нет на цитадели крепости Орешек?,Сторожевая,Колокольная или Часовая,Светличная,Мельничная
