,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется открытая торговля старыми книгами или вещами?,Развал,Разброс,Разлом,Раскол
1,Каким швейным изделием является конверт для новорожденного?,Постельное,Фартучное,Пальтовое,Корсетное
2,Герой какого произведения М. Лермонтова победил барса в схватке?,«Мцыри»,«Хаджи-Абрек»,«Демон»,«Дары Терека»
3,Когда играли свадьбу в м/ф «Жил-был пёс»?,Зимой,Осенью,Весной,Летом
4,Какое из перечисленных небесных тел является спутником Юпитера?,Каллисто,Деймос,Деспина,Псамафа
5,Где расположена зрительная зона коры головного мозга?,Затылочная доля,Теменная доля,Лобная доля,Левая височная доля
6,Какое из этих животных занесено в книгу рекордов Гиннесса как самое опасное для человека?,Комар,Черная мамба,Крыса,Белая акула
7,Какому состоянию человека соответствует альфа-ритм ЭЭГ?,спокойное бодрствование,активное бодрствование,глубокий естественный сон,"быстрый сон, полудрёма"
8,"Кто был единственным членом Верховного суда над декабристами, проголосовавшим против применения смертной казни?",Н. С. Мордвинов,П. В. Лопухин,М. С. Воронцов,М. М. Сперанский
9,Какая команда является единственным трижды чемпионом Высшей лиги КВН?,«НГУ»,«ОГУ»,«БГУ»,«ХАИ»
