,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой город является столицей Удмуртской республики?,Ижевск,Уфа,Йошкар-Ола,Сарапул
1,"Как заканчивается известная пословица: ""Где родился, там и...""?",Пригодился,Научился,Женился,Заработал
2,Какая река НЕ впадает в Волгу?,Дон,Кама,Ока,Сура
3,"Какой «окрас» приобретает герой песни Эдмунда Шклярского, «стоит солнцу зайти»?",Фиолетово-чёрный,Красно-коричневый,Жёлто-зелёный,Серо-голубой
4,Какое соединение является индуктором аллергического процесса?,Гистамин,Серотонин,Дофамин,ГАМК
5,С каким тренером лондонский «Челси» выиграл Лигу Чемпионов УЕФА?,Роберто Ди Маттео,Гус Хиддинк,Жозе Мауриньо,Карло Анчелотти
6,Какое из этих произведений написано не Дж. Лондоном?,"""Золотой жук""","""Белое безмолвие""","""Маленькая хозяйка большого дома""","""Межзвездный скиталец"""
7,В каком фильме артист театра Евгений Матвеев сыграл дебютную роль?,"""Доброе утро""","""Искатели""","""Дорога""","""Родная кровь"""
8,Как называется курорт на одном из островов Кабо-Верде?,Вила-ду-Маю,Вила-ре-Шаю,Вила-де-Лаю,Вила-ле-Таю
9,Какой из перечисленных городов Брянской области не был удостоен Магдебургского права?,Сураж,Мглин,Погар,Почеп
