,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что находится в центре Дворцовой площади Петербурга?,Александрийский столп,Телеграфный столб,Геркулесовые столбы,Белые Столбы
1,С какой Землей Германии перекликается прозвище таракана?,Пруссия,Бремен,Гамбург,Бавария
2,Какого цвета тулья форменной фуражки пограничников?,Зеленый,Голубой,Черный,Бордовый
3,"Какому специалисту более знаком термин ""перкуссия""?",Медику,Геологу,Философу,Энтомологу
4,Какой город НЕ стоит на берегу моря?,Архангельск,Таганрог,Владивосток,Мурманск
5,Какая из команд чаще побеждала в баскетбольной Евролиге в сезонах с 2001/02 до 2011/12?,Панатинаикос,ЦСКА,Маккаби,Барселона
6,В какой африканской стране находится один из древнейших центров христианства - город Аксум?,Эфиопия,Эритрея,Либерия,Судан
7,На месте какого китайского поселения располагался Порт-Артур?,Люйшунь,Яньтай,Циндао,Ляньюньган
8,Какого персонажа нет на знаменитых фонтанах-скважинах в Берне?,Святого Георгия,Юстиции,Самсона,Пожирателя детей
9,Какое из перечисленных веществ не принимает участия в кодировании генетической информации?,Тиамин,Аденин,Цитозин,Гуанин
