,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как астрономы называют звёзды невысокой светимости?,красный карлик,зелёный пигмей,синий гном,жёлтый недомерок
1,"Какую фамилию носила помещица, которую навестил Чичиков?",Коробочка,Обёрточка,Упаковочка,Тюфячок
2,Как дословно переводится с французского выражение «тет-а-тет»?,Голова в голову,Глаза в глаза,Из ушей в уши,Слово в слово
3,"Какого цвета был букет Маргариты, когда она познакомилась с мастером?",жёлтого,белого,красного,синего
4,Какой из этих городов никогда не был столицей Японии?,Саппоро,Нара,Киото,Эдо
5,Как называлась улица Ленина в Санкт-Петербурге до её переименования?,Широкая,Михайловская,Большая Калужская,Чернавинский проспект
6,Какое число дало название альбому канадской рок-группы Rush?,2112,8848,9999,666
7,Какое животное в культуре индейцев Центральной Америки считалось символом плодовитости?,Ящерица,Колибри,Камбала,Оцелот
8,"Биографию какого драматурга Булгаков написал для серии ""Жизнь замечательных людей""?",Мольер,Бомарше,Расин,Дюма-сын
9,Ноты какой русской народной песни воспроизведены на ограде памятника Чайковскому в Москве?,"""Сидел Ваня на диване""","""Во поле береза стояла""","""Коса ль моя, косынька""","""Пойду ль я, выйду ль я"""
