,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называются правила расстановки знаков препинания?,Пунктуация,Пункция,Пунктура,Пуантилизм
1,Как называется одно из стихотворений В. Маяковского?,"""Сказка о красной шапочке""","""Сага о черной шляпе""","""Сказание о сером треухе""","""Быль о синей кепочке"""
2,В каком фильме не звучат песни Владимира Высоцкого?,«Место встречи изменить нельзя»,«Вертикаль»,«Опасные гастроли»,«Стрелы Робин Гуда»
3,В какой из этих стран Латинской Америки государственный язык - не испанский?,Бразилия,Уругвай,Аргентина,Венесуэла
4,"Кого в русской армии XIX века называли ""пластун""?",Разведчика,Артиллериста,Моряка,Кирасира
5,Какой из этих органов человеческого организма - непарный?,Шишковидная железа,Надпочечник,Подъязычная слюнная железа,Бартолинова железа
6,"Как называется язык программирования, разработанный Никлаусом Виртом для целей обучения?",Pascal,Algol,Fortran,Basic
7,Какой футбольный клуб чаще других становился победителем Кубка Либертадорес?,Индепендьенте (Аргентина),Пеньяроль (Уругвай),Сан-Паулу (Бразилия),Ривер Плейт (Аргентина)
8,"Какие шахматисты сыграли в 1851 году знаменитую партию, получившую впоследствии эпитет Бессмертная?",Адольф Андерсен и Лионэль Кизерицкий,Адольф Андерсен и Жан Дюфрэнь,Пол Морфи и Адольф Андерсен,Вильгельм Стейниц и Адольф Андерсен
9,"Кто из русских писателей участвовал в ""Четверной дуэли"" из-за балерины Авдотьи Истоминой?",А. С. Грибоедов,А. С. Пушкин,Л. Н. Толстой,М. Ю. Лермонтов
