,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется неустойчивая работа авиадвигателя, применяемая для увеличения тяги?",Форсаж,Антураж,Помпаж,Плюмаж
1,Как называется известный торт?,"""Сказка""","""Романище""","""Анекдот""","""Частушка"""
2,С какой планеты был родом киношный Супермен?,Криптон,Гелий,Неон,Аргон
3,Какая из этих древнеегипетских столиц была построена позже остальных?,Александрия,Фивы,Ахетатон,Мемфис
4,По мотивам какой сказки Андерсена Сергей Прокофьев написал оперу?,«Гадкий утенок»,«Русалочка»,«Огниво»,«Снежная королева»
5,Чьё изобретение стало прообразом детали обыкновенной ручной мясорубки?,Архимеда,Томаса Эдисона,Леонардо да Винчи,Михаила Ломоносова
6,Какая опера Рубинштейна самая ранняя?,Дмитрий Донской,Нерон,Демон,Купец Калашников
7,Штаб-квартира какой международной организации не находится в Женеве?,МОК,ВОЗ,ВТО,ЦЕРН
8,Какое княжество в знак благодарности России объявило войну Японии в 1904 году?,Черногория,Монако,Андорра,Лихтенштейн
9,Какой язык ещё не умер?,чикасо,чибча,читимача,атакапа
