,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Бассейну какого океана принадлежит Гольфстрим?,Атлантический,Тихий,Индийский,Северный Ледовитый
1,"Назовите прозвище начальника ""ментов"" из отечественного телесериала","""Мухомор""","""Буквоед""","""Шампиньон""","""Молоток"""
2,Самое быстрое наземное животное,Гепард,Пантера,Газель,Леопард
3,"Кого засовывали в дымоход в викторианской Британии те, кому трубочист был не по карману?",Гусей,Свиней,Кроликов,Крыс
4,Какая птица кроме совы и петуха присутствует на знаменитых механических часах в Эрмитаже?,Павлин,Ворон,Ястреб,Голубь
5,"Какой город архитектор Оскар Нимейер возвел ""на пустом месте""?",Бразилиа,Мехико,Детройт,Валлетта
6,Последним императором какой африканской страны был Хайле Селассие I?,Эфиопия,Марокко,Египет,Свазиленд
7,Какой национальный праздник отмечается ежегодно 31 августа в Молдавии?,День национального языка,День независимости,День родного края,Национальный день вина
8,Какая экспедиция впервые прошла Северо-Восточным проходом из Атлантического океана в Тихий?,Норденшельда,Амундсена,Шмидта,Вилькицкого
9,За движение какого органа человека отвечает кремастерная мышца (m. cremaster)?,Яичко,Нижнее веко,Стремечко среднего уха,Глазное яблоко
