,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько на Земле материков?,6,8,7,5
1,Чему посвящена книга Владимира Солоухина «Третья охота»?,сбору грибов,рыбной ловле,утиной охоте,охоте за привидениями
2,Какая пьеса Шекспира самая длинная?,«Гамлет»,«Макбет»,«Ромео и Джульетта»,«Король Лир»
3,Кто из античных героев победил кроммионскую свинью и критского Минотавра?,Тесей,Геракл,Ясон,Персей
4,Кто назвал Санкт-Петербург «окном в Европу»?,Франческо Альгаротти,А. С. Пушкин,Пётр I,Иоганн Георг
5,"Какая рок-группа исполняет композицию: ""Музыка на песке""?","""Наутилус Помпилиус""","""Аквариум""","""Пикник""","""Алиса"""
6,"Какой поэт сказал, что ""теперь в советской стороне я самый яростный попутчик""?",С.Есенин,В.Маяковский,М.Волошин,Н.Гумилёв
7,Какую специальность Б. Н. Стругацкий приобрел по окончании математико-механического факультета ЛГУ?,Астроном,Учитель математики,Программист,Инженер-механик
8,"Как называется мыс на острове Северный архипелага Новая земля, на котором была взорвана самая мощная термоядерная ""Царь-бомба""?",Сухой Нос,Маточкин Шар,Белушья Губа,Чёрная Губа
9,"Как звали исследователя Сибири, основавшего Якутск, Нерчинск и Читу?",П. И. Бекетов,Н. Г. Спафарий,М. В. Стадухин,И. И. Ребров
