,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих животных не входит в 12-летний цикл восточной астрологии?,Крокодил,Петух,Обезьяна,Тигр
1,Как раньше назывался цвет светлой морской волны?,Марина,Синявый,Аквамарин,Гаити
2,"За какой фильм в 1980 году Владимир Меньшов получил премию ""Оскар""?","""Москва слезам не верит""","""Розыгрыш""","""Любовь и голуби""","""Ширли-Мырли"""
3,Гипотетических жителей какого небесного тела фантасты иногда называют селенитами?,Луны,Солнца,Кометы Галлея,Марса
4,К какому семейству относится ежевика?,розовые,лоховые,крушиновые,тутовые
5,Что происходит при температуре 451 градус по шкале Фаренгейта?,воспламенение бумаги,возгорание керосина,плавление свинца,кипение ртути
6,Какой литературный альманах издавал в 1794–95 годах Н. Карамзин?,«Аглая»,«Северный вестник»,«Вестник Европы»,«Московский журнал»
7,"Как называлось римское должностное лицо, контролирующее поставки пшеницы в Рим?",префект анноны,префект претория,священный царь,магистр оффиций
8,"По пьесе какого украинского писателя был снят кинофильм ""За двумя зайцами""?",Михаил Старицкий,Иван Нечуй-Левицкий,Леся Украинка,Григорий Квитка-Основьяненко
9,"Кто из перечисленных хоккеистов является первым индейцем, попавшим в Зал хоккейной славы?",Джордж Армстронг,Фред Сасакамус,Крэйг Беруби,Джонатан Чичу
