,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что традиционно подсвечивают по ночам коммунальщики Парижа?,Эйфелеву башню,Луну,Дно Сены,Экспонаты Лувра
1,"Французская кинокомедия с Анни Жирардо в главной роли называлась ""Украли …""",Бедро Юпитера,Руки Венеры,Грудь Афродиты,Повязку Фемиды
2,Как называется основная денежная единица Индии?,Рупия,Драхм,Динар,Тугрик
3,Какой транспорт соединяет Симферополь и Ялту самым длинным в Европе маршрутом?,троллейбус,автобус,трамвай,фуникулёр
4,Каково было кодовое название контрнаступления Красной Армии в освобождении Сталинграда?,Операция Уран,Операция Сатурн,Операция Вихрь,Операция Юпитер
5,Температура тела бесшёрстных пород домашней кошки:,"Такая же, как у других кошачьих пород","Ниже, чем у других кошачьих пород","Днем выше, а ночью ниже, чему других кошачьих пород","Выше, чем у других кошачьих пород"
6,Сколько раз чемпионом мира по крикету становились сборные европейских стран?,0,3,2,1
7,К кому из участников обороны Севастополя были обращены слова командующего армии генерала И. Е. Петрова: «Весь Севастополь знает тебя. Вся страна будет теперь знать»?,Нина Онилова,Васмлий Ревякин,Аметхан Султан,Вилор Чекмак
8,"Как иначе называется ""куриная слепота""?",Гемералопия,Ксерофтальмия,Ихтиоз,Страбизм
9,"В каком гусарском полку служила Шурочка Азарова из фильма ""Гусарская баллада"", если исходить из расцветки ее мундира?",Сумский,Мариупольский,Лейб-гвардии гусарский,Павлоградский
