,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как назвал своё полотно Иван Айвазовский?,«Девятый вал»,«Второй подбородок»,«Третий — лишний»,«Пятое колесо»
1,Чему равны 5400 секунд?,Полутора часам,Двум часам,Получасу,Часу
2,С какой песни начиналось утро на радио во время Великой Отечественной войны?,«Священная война»,«Землянка»,«Тёмная ночь»,«Катюша»
3,Какая страна Южной Америки самая населённая?,Бразилия,Перу,Колумбия,Аргентина
4,Какой христианский праздник отмечается на сороковой день после Рождества?,Сретение,Преображение,Вознесение,Благовещение
5,Заполните пропуск в строках стихотворения «К российскому дворянству» Федора Федоровича Иванова: «Воспомни Карла в громкой славе; Весь <...> руки его дрожал; Но гордость завела к Полтаве И гордый с колесницы пал».,Норд,Русс,Ост,Свей
6,Личиночная форма какого паразита может достигать размера головы новорожденного ребенка?,Эхинококк,Лямблия,Балантидий,Ришта 
7,В каком году в последний раз были напечатаны купюры с изображением В. И. Ленина?,В 1992 году,В 1990 году,В 1988 году,В 1994 году
8,Что из перечисленного окрашивает лакмус в синий цвет?,Нашатырный спирт,Этиловый спирт,Царская водка,Ацетон
9,"Цитатой из произведения какого классика русской литературы начинается художественный фильм Леонида Квинихидзе ""Друг""?",И. А. Бунина,Ф. М. Достоевского,Л. Н. Толстого,И. С. Тургенева
