,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,На кого обычно плюет рыболов?,На червяка,На другого рыболова,На комаров,На рыбу
1,Название какой станции Московского метрополитена 14 февраля 2021 года в шутку изменили на один день?,«Люблино»,&#171;Бибирево&#187;,&#171;Выхино&#187;,&#171;Саларьево&#187;
2,"Какое из этих животных относится к тому же отряду, что и нарвал?",Афалина,Манта,Мурена,Актиния
3,"Какое изобретение человечества не упоминается в романе ""Азазель""?",Кинематограф,Телеграф,Фотография,Телефон
4,"Какой артист сыграл главную мужскую роль в фильме Мартина Скорсезе «Нью-Йорк, Нью-Йорк»?",Роберт де Ниро,Харрисон Форд,Клинт Иствуд,Джек Николсон
5,"Для какого пояса характерны биомы маквис, скрэб, чапараль, финбош с жестколистными кустарниками?",Субтропический,Тропический,Экваториальный,Субэкваториальный
6,"Какая из этих известных женщин была оперной певицей, солисткой Большого театра?",Валентина Левко,Наталия Сайко,Алла Данько,Виктория Лепко
7,В какой из этих опер Джакомо Пуччини есть партии меццо-сопрано?,"""Мадам Баттерфляй""","""Тоска""","""Богема""","""Турандот"""
8,Кто из этих художников написал картину «Свадьба на Украине»?,Иван Айвазовский,Карл Брюллов,Тарас Шевченко,Владимир Маковский
9,"Кто стал последним из советских вокалистов, получивших звание лауреата премии Ленинского комсомола?",Александр Малинин,Олег Газманов,Игорь Тальков,Михаил Муромов
